Varying Metadata,Fixed Metadata,Varying Value,Count
dendriticType,"SomaLayerLoc=5_6, brainOrigin=PFC, Sex=F, Age=11.58, Species=Macaca fascicularis",S,384
dendriticType,"SomaLayerLoc=5_6, brainOrigin=PFC, Sex=F, Age=11.58, Species=Macaca fascicularis",NA,288
dendriticType,"SomaLayerLoc=5_6, brainOrigin=PFC, Sex=M, Age=5.11, Species=Macaca fascicularis",A,2702
dendriticType,"SomaLayerLoc=5_6, brainOrigin=PFC, Sex=M, Age=5.11, Species=Macaca fascicularis",S,132
dendriticType,"SomaLayerLoc=NA, brainOrigin=PFC, Sex=M, Age=5.11, Species=Macaca fascicularis",NA,2784
dendriticType,"SomaLayerLoc=NA, brainOrigin=PFC, Sex=M, Age=5.11, Species=Macaca fascicularis",A,480
SomaLayerLoc,"dendriticType=A, brainOrigin=PFC, Sex=F, Age=9.96, Species=Macaca fascicularis",3,622
SomaLayerLoc,"dendriticType=A, brainOrigin=PFC, Sex=F, Age=9.96, Species=Macaca fascicularis",2,608
SomaLayerLoc,"dendriticType=A, brainOrigin=PFC, Sex=M, Age=4.39, Species=Macaca fascicularis",4,120
SomaLayerLoc,"dendriticType=A, brainOrigin=PFC, Sex=M, Age=4.39, Species=Macaca fascicularis",5_6,108
